n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
902,61,18,1,0,7,6,12,0,0,5,10,0,0,0,0,0,1,0,0,7,0,0,0,0,0,5,0,2,4,0,0
154,3,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
768,61,15,0,0,0,10,2,7,0,6,6,4,2,0,0,0,0,0,0,4,3,0,0,0,0,0,4,0,0,0,0
924,63,22,0,0,0,12,0,6,2,0,8,7,8,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0
619,38,20,0,0,1,0,9,0,4,0,4,2,1,4,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0
957,58,19,0,0,0,0,12,0,4,2,4,10,1,6,0,0,0,0,0,0,6,1,0,0,0,0,6,0,0,0,0
1042,57,26,0,0,0,0,8,0,0,8,0,6,4,1,6,1,0,0,0,0,2,4,0,0,0,0,0,6,0,0,0
157,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1940,215,26,9,3,2,0,0,11,5,0,3,2,7,0,1,10,6,0,0,0,0,3,0,0,0,0,0,1,0,0,0
1925,342,321,4,2,0,0,0,9,2,0,2,4,6,2,0,2,1,2,0,0,0,2,3,0,0,0,0,0,2,0,0
2087,325,22,3,7,1,0,0,7,6,0,0,4,2,10,0,0,2,8,0,0,0,0,9,0,0,0,0,0,0,0,0
2346,51,19,8,10,0,1,0,6,4,0,0,0,6,12,0,0,1,0,8,0,0,0,6,1,0,0,0,0,0,0,0
214,3,1,0,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,12,2,3,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
396,34,6,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0
1455,101,14,2,0,6,0,6,0,0,6,0,7,0,0,0,4,9,4,2,0,0,1,0,2,4,6,1,0,0,0,0
2865,132,18,0,15,8,0,2,13,0,2,6,0,2,0,0,4,14,2,6,0,0,0,1,0,4,12,1,0,0,0,0
1351,97,28,0,6,0,6,0,6,0,0,6,0,6,0,0,0,5,4,8,0,0,0,0,1,0,12,0,1,0,0,0
1240,58,15,1,8,0,6,0,6,2,0,7,0,6,0,0,0,2,10,0,6,0,0,0,1,0,2,13,1,0,0,0
1078,39,16,0,2,4,8,0,2,7,0,6,0,2,0,0,0,0,8,4,5,0,0,0,0,1,0,2,6,0,0,1
808,51,10,0,0,6,0,2,0,5,0,0,2,0,7,0,0,0,2,4,0,4,0,0,0,0,1,2,2,4,0,0
