n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
1729,21,0,0,8,8,0,7,6,2,2,6,0,0,0,5,0,8,0,6,6,0,1,0,0,0,13,8,0,0,0,0
1425,20,0,0,8,3,0,6,0,10,0,6,1,0,0,4,2,0,3,6,0,8,0,0,0,0,8,7,2,0,0,0
1185,13,0,0,4,0,7,3,0,5,0,3,0,0,1,1,4,0,2,2,1,7,1,0,0,0,1,0,6,0,0,0
830,12,1,0,3,2,2,0,0,3,4,5,0,0,0,0,2,0,0,2,2,5,0,1,0,0,2,3,0,3,0,0
1603,39,6,0,0,8,6,2,0,1,8,4,4,0,0,0,6,0,0,8,8,2,6,1,0,0,0,8,0,4,0,0
1698,36,6,3,0,8,0,6,0,0,3,6,6,0,0,0,0,8,0,7,2,4,6,1,0,0,0,8,0,0,0,0
1252,26,4,4,0,5,0,5,0,0,1,6,5,0,0,0,0,6,0,4,0,7,8,0,0,0,0,2,0,0,0,0
1755,36,8,3,7,0,6,6,0,0,0,5,9,0,0,0,0,4,2,0,8,4,2,2,1,0,0,0,8,0,0,0
1809,45,12,0,8,6,4,0,8,0,0,0,14,4,0,0,0,0,6,0,8,0,8,8,1,0,0,0,8,0,0,0
1879,59,16,0,3,2,4,0,6,0,0,0,7,3,0,0,0,0,8,0,4,4,6,8,0,1,0,0,2,0,0,0
2174,100,73,8,1,3,2,6,20,0,6,0,0,15,0,0,12,0,8,6,52,6,16,10,26,1,0,14,0,14,0,0
2393,272,132,16,0,9,6,2,10,16,0,12,0,14,6,6,1,0,18,12,113,14,0,12,99,1,0,26,14,0,0,0
2394,288,119,20,0,2,2,12,21,16,16,0,0,6,17,6,6,0,12,8,0,108,13,14,115,12,1,0,32,0,0,0
2183,316,138,14,6,6,9,6,0,14,6,18,12,18,14,1,6,6,0,8,6,84,8,2,22,113,7,0,38,16,0,0
2468,316,163,12,22,0,9,7,6,8,2,6,18,18,8,21,0,12,6,6,12,118,10,4,10,92,7,6,6,32,0,0
2359,352,138,0,14,8,12,4,0,18,26,14,4,12,20,12,2,0,18,6,14,88,28,8,12,129,12,1,6,25,7,0
2613,372,171,1,20,20,6,11,0,6,8,6,12,3,14,0,7,6,0,0,14,6,123,12,0,106,42,1,0,12,30,0
2345,377,107,7,6,18,6,1,14,6,12,0,0,6,19,12,9,6,6,6,2,10,118,18,14,16,105,7,12,0,30,0
1970,338,128,0,0,10,6,0,4,0,2,6,0,0,6,8,0,9,0,0,0,8,88,0,8,6,101,0,1,0,0,30
2044,328,134,4,0,9,6,0,3,2,0,8,0,0,0,16,1,7,1,0,0,6,45,72,0,8,125,0,1,0,0,31
1702,297,130,7,1,7,13,4,2,4,0,5,0,1,0,8,8,2,7,0,0,3,1,121,22,8,63,13,0,0,0,3
2103,297,113,14,0,0,6,6,1,4,0,4,4,0,0,1,6,6,6,1,0,0,5,115,30,2,6,123,0,1,0,0
1991,304,130,12,2,0,8,8,0,0,3,0,6,0,0,0,8,4,6,7,0,0,8,119,10,21,8,117,0,0,0,0
1906,314,120,6,8,0,6,4,4,0,4,0,8,0,0,0,8,0,4,10,1,0,4,2,116,32,6,113,2,0,0,0
